Latitude,Longitude
40.846977,-73.920465
40.852452,-73.904629
40.858176,-73.90623
40.850041,-73.913619
40.809627,-73.93782
40.818092,-73.950161
40.799552,-73.95145
40.812473,-73.937835
40.810416,-73.939961
,
40.815499,-73.939852
40.817088,-73.938669
40.818518,-73.945088
40.816674,-73.946433
40.816213,-73.945877
40.834714,-73.9253
40.836139,-73.924626
40.84021,-73.91417
40.827924,-73.924704
40.837053,-73.917943
40.83741,-73.917636
40.840986,-73.917132
40.845806,-73.921991
40.845574,-73.915309
40.841588,-73.922593
40.836717,-73.919216
40.830735,-73.922027
40.835507,-73.920612
40.842095,-73.917782
40.838274,-73.924313
40.836013,-73.922075
40.839055,-73.914663
40.843196,-73.91336
40.838534,-73.918895
40.834307,-73.928173
40.838303,-73.919091
40.840915,-73.920978
40.833563,-73.927267
40.835731,-73.922964
40.834957,-73.918994
,
40.839272,-73.918371
40.831564,-73.921538
40.835981,-73.923438
40.840531,-73.921604
40.838847,-73.916185
40.841408,-73.92466
40.846355,-73.917433
40.831869,-73.922365
40.834399,-73.922088
40.694203,-73.910236
40.694189,-73.91025
,
40.692843,-73.911925
40.695765,-73.917053
40.692222,-73.914876
40.693973,-73.917946
40.694987,-73.919737
40.689908,-73.914807
40.688729,-73.948238
40.691959,-73.919629
40.693084,-73.921871
40.694499,-73.924354
,
40.694154,-73.926525
40.688433,-73.916251
40.688141,-73.919706
40.688516,-73.921126
40.69081,-73.924333
40.691354,-73.925396
40.692953,-73.928106
40.697504,-73.932591
,
40.697996,-73.924999
40.684342,-73.940778
40.686439,-73.942063
40.691515,-73.94265
40.692423,-73.942155
,
,
,
40.692702,-73.939736
40.692601,-73.940623
40.685022,-73.935008
40.688734,-73.936205
40.689288,-73.935996
40.692028,-73.936866
40.693937,-73.934232
40.690538,-73.933553
40.684342,-73.935333
40.690385,-73.933983
40.687387,-73.932947
40.688623,-73.929744
40.691322,-73.927725
40.686134,-73.926718
40.686815,-73.926829
40.686456,-73.923407
40.687189,-73.923554
40.688649,-73.923866
,
40.693024,-73.936962
40.686578,-73.9298
40.687193,-73.938868
40.697358,-73.931971
40.691837,-73.926142
40.688051,-73.919544
,
40.7988122,-73.952602
40.8043867,-73.9547248
40.8036988,-73.9554956
40.8008231,-73.958678
40.8044438,-73.9519624
40.8018884,-73.956978
40.8074124,-73.9624361
40.799394,-73.951705
40.8023623,-73.9490662
40.8019,-73.9531
40.803604,-73.948406
40.7975648,-73.9492703
40.804578,-73.954943
40.8076279,-73.9237151
40.806524,-73.917985
40.8133075,-73.9223427
40.8072868,-73.9192977
40.808125,-73.919062
40.811737,-73.916675
40.806324,-73.917517
40.807204,-73.916968
40.8072483,-73.9273176
40.8082684,-73.9146124
40.813231,-73.9196382
40.8074406,-73.9196677
40.8078287,-73.9202595
40.8068583,-73.9190588
40.8135793,-73.92207
40.8054488,-73.9160472
40.8090972,-73.9185003
40.809498,-73.916166
40.8097962,-73.9240942
40.8093076,-73.9225099
40.8099378,-73.924223
