Latitude,Longitude
40.678053,-73.891478
40.677879,-73.892772
40.677742,-73.893678
40.677936,-73.892268
40.678656,-73.896416
40.69016,-73.907173
40.68619,-73.908898
40.679552,-73.885909
40.68039,-73.892682
40.678348,-73.889747
40.798917,-73.943533
40.798118,-73.942006
40.792642,-73.940956
40.792729,-73.940913
40.796768,-73.937236
,
40.79235,-73.946215
40.792753,-73.950144
40.789922,-73.947961
40.790605,-73.946469
40.789515,-73.946163
40.788176,-73.941133
40.78771,-73.949288
40.79565,-73.936703
40.78874,-73.948825
40.796167,-73.937941
40.790501,-73.947538
40.796358,-73.947512
40.798265,-73.94612
40.791026,-73.943359
40.834741,-73.901771
40.834199,-73.900167
40.836328,-73.902603
40.821432,-73.905183
40.835103,-73.908051
40.833333,-73.912802
40.835694,-73.903052
40.834931,-73.903144
,
40.832698,-73.917847
40.830862,-73.910897
40.834317,-73.909953
40.826215,-73.907857
40.67425,-73.886974
40.673169,-73.887315
40.662374,-73.884828
40.659602,-73.893566
40.676038,-73.885551
40.670122,-73.890085
40.66582,-73.888567
40.661971,-73.887788
40.679876,-73.908009
40.806215,-73.941807
40.80083,-73.937926
40.80211,-73.945394
40.799408,-73.937479
40.798278,-73.933731
40.798278,-73.933731
40.797155,-73.937651
40.801484,-73.934425
40.806313,-73.94024
40.799256,-73.941171
40.797964,-73.937061
40.795599,-73.932769
40.846375,-73.888858
40.84345,-73.905202
40.856256,-73.90064
40.839504,-73.899545
40.847412,-73.903704
40.846798,-73.908111
40.847236,-73.888101
40.852753,-73.899897
40.850821,-73.893958
40.846509,-73.894814
40.854042,-73.902295
40.854045,-73.899172
40.847528,-73.894599
40.848385,-73.905951
40.851468,-73.902885
